journal_issue_id	article_count	issue_details	article_ids
journal-issue-011895	7	— Московский бонист. — 1973. — № 1–2 (84–85).	article-033756; article-033757; article-033758; article-033759; article-033760; article-033761; article-033762
journal-issue-011896	6	— Московский бонист. — 1974. — № 1–2 (86–87).	article-033763; article-033764; article-033765; article-033766; article-033767; article-033768
journal-issue-011898	9	— Московский бонист. — 1975. — № 1–2 (90–91).	article-033770; article-033771; article-033772; article-033773; article-033774; article-033775; article-033776; article-033777; article-033778
journal-issue-011899	6	— Московский бонист. — 1975. — № 3–4 (92–93).	article-033779; article-033780; article-033781; article-033782; article-033783; article-033784
journal-issue-011900	3	— Московский бонист. — 1975. — № 5–6 (94–95).	article-033785; article-033786; article-033787
journal-issue-011901	5	— Московский бонист. — 1976. — № 1–2 (96–97).	article-033788; article-033789; article-033790; article-033791; article-033792
journal-issue-011902	5	— Московский бонист. — 1976. — № 3–4 (98–99).	article-033793; article-033794; article-033795; article-033796; article-033797
journal-issue-011903	4	— Московский бонист. — 1976. — № 5 (100).	article-033798; article-033799; article-033800; article-033801
journal-issue-011904	3	— Московский бонист. — 1976. — № 6–7 (101–102).	article-033802; article-033803; article-033804
journal-issue-011905	4	— Московский бонист. — 1976. — № 8–9 (103–104). — 20 октября.	article-033805; article-033806; article-033807; article-033808
journal-issue-011906	3	— Московский бонист. — 1977. — № 1–2 (105–106).	article-033809; article-033810; article-033811
journal-issue-011907	7	— Московский бонист. — 1977. — № 3–4 (107–108). — 16 марта.	article-033812; article-033813; article-033814; article-033815; article-033816; article-033817; article-033818
journal-issue-011908	8	— Московский бонист. — 1977. — № 5–6 (109–110).	article-033819; article-033820; article-033821; article-033822; article-033823; article-033824; article-033825; article-033826
journal-issue-011909	8	— Московский бонист. — 1977. — № 7–8 (111–112).	article-033827; article-033828; article-033829; article-033830; article-033831; article-033832; article-033833; article-033834
journal-issue-011910	9	— Московский бонист. — 1978. — № 1–2 (113–114).	article-033835; article-033836; article-033837; article-033838; article-033839; article-033840; article-033841; article-033842; article-033843
journal-issue-011911	13	— Московский бонист. — 1978. — № 3–4 (115–116).	article-029774; article-033844; article-033845; article-033846; article-033847; article-033848; article-033849; article-033850; article-033851; article-033852; article-033853; article-033854; article-033855
journal-issue-011915	7	— Московский бонист. — 1978. — № 5–6 (117–118).	article-033856; article-033857; article-033858; article-033859; article-033860; article-033861; article-033862
journal-issue-011916	7	— Московский бонист. — 1979. — № 1–2 (119–120).	article-033863; article-033864; article-033865; article-033866; article-033867; article-033868; article-033869
journal-issue-011917	6	— Московский бонист. — 1979. — № 3–4 (121–122).	article-029775; article-033870; article-033871; article-033872; article-033873; article-033874
journal-issue-011919	8	— Московский бонист. — 1979. — № 5–6 (123–124).	article-033875; article-033876; article-033877; article-033878; article-033879; article-033880; article-033881; article-033882
journal-issue-011921	21	— Московский бонист. — 1979. — № 7 (125).	article-033883; article-033884; article-033885; article-033886; article-033887; article-033888; article-033889; article-033890; article-033891; article-033892; article-033893; article-033894; article-033895; article-033896; article-033897; article-033898; article-033899; article-033900; article-033901; article-033902
journal-issue-011924	10	— Московский бонист. — 1980. — № 1–2 (126–127).	article-033904; article-033905; article-033906; article-033907; article-033908; article-033909; article-033910; article-033911; article-033912; article-033913
journal-issue-011925	6	— Московский бонист. — 1980. — № 3–4 (128–129).	article-033914; article-033915; article-033916; article-033917; article-033918; article-033919
journal-issue-011926	9	— Московский бонист. — 1981. — № 1–2 (130–131).	article-033920; article-033921; article-033922; article-033923; article-033924; article-033925; article-033926; article-033927; article-033928
journal-issue-011927	9	— Московский бонист. — 1981. — № 3–4 (132–133).	article-033929; article-033930; article-033931; article-033932; article-033933; article-033934; article-033935; article-033936; article-033937
journal-issue-011928	5	— Московский бонист. — 1981. — № 5–6 (134–135).	article-033938; article-033939; article-033940; article-033941; article-033942
journal-issue-011929	5	— Московский бонист. — 1982. — № 1–2 (136–137).	article-033943; article-033944; article-033945; article-033946; article-033947
journal-issue-011930	4	— Московский бонист. — 1982. — № 3–4 (138–139).	article-033948; article-033949; article-033950; article-033951
journal-issue-011931	5	— Московский бонист. — 1982. — № 5–6 (140–141).	article-033952; article-033953; article-033954; article-033955; article-033956
journal-issue-011932	8	— Московский бонист. — 1982. — № 7–8 (142–143).	article-033957; article-033958; article-033959; article-033960; article-033961; article-033962; article-033963; article-033964
journal-issue-011933	4	— Московский бонист. — 1983. — № 1–2 (144–145).	article-033965; article-033966; article-033967; article-033968
journal-issue-011934	3	— Московский бонист. — 1983. — № 3–4 (146–147).	article-033969; article-033970; article-033971
journal-issue-011935	2	— Московский бонист. — 1983. — № 5–6 (148–149).	article-033972; article-033973
journal-issue-011936	4	— Московский бонист. — 1984. — № 1–2 (150–151).	article-033974; article-033975; article-033976; article-033977
journal-issue-011937	2	— Московский бонист. — 1984. — № 3–4 (152–153).	article-033978; article-033979
journal-issue-011938	2	— Московский бонист. — 1984. — № 5–6 (154–155).	article-033980; article-033981
journal-issue-011939	4	— Московский бонист. — 1985. — № 1–2 (156–157).	article-033982; article-033983; article-033984; article-033985
journal-issue-011940	4	— Московский бонист. — 1985. — № 3–4 (158–159).	article-033986; article-033987; article-033988; article-033989
journal-issue-011941	5	— Московский бонист. — 1985. — № 5–6 (160–161).	article-033990; article-033991; article-033992; article-033993; article-033994
journal-issue-011942	3	— Московский бонист. — 1988. — № 1–2 (162–163).	article-033995; article-033996; article-033997
journal-issue-011943	5	— Московский бонист. — 1988. — № 3–4 (164–165).	article-033998; article-033999; article-034000; article-034001; article-034002
journal-issue-011944	7	— Московский бонист. — 1988. — № 5–6 (166–167)	article-034003; article-034004; article-034005; article-034006; article-034007; article-034008; article-034009
journal-issue-011945	4	— Московский бонист. — 1990. — № 1–2 (168–169)	article-034010; article-034011; article-034012; article-034013
journal-issue-011579	2	— 564с.; — С. 397–413.	article-032541; article-032542
journal-issue-010093	3	— СПб., 1900. — Кн. 2.	article-029474; article-029475; article-029476
journal-issue-011449	2	— 1990. — № 2. — С. 2–5.	article-032318; article-032319
journal-issue-011445	2	— 1991. — № 12.	article-032314; article-034018
journal-issue-011529	2	— Т.11. Вып. 3. — СПб.: СПбГУ, 2021. С.638 — 653.	article-032459; article-032593
journal-issue-010658	21	— С. 216–217	article-030545; article-030546; article-030548; article-030550; article-030551; article-030552; article-030555; article-030557; article-030558; article-030559; article-030560; article-030563; article-030564; article-030570; article-030571; article-030572; article-030575; article-030577; article-030578; article-030579
journal-issue-010657	16	— С. 75–79	article-030544; article-030547; article-030549; article-030553; article-030554; article-030556; article-030561; article-030562; article-030565; article-030566; article-030567; article-030568; article-030569; article-030573; article-030574; article-030576
journal-issue-010702	3	— 1990. — № 1.	article-030721; article-030722; article-030723
journal-issue-010703	3	— 1990. — № 2.	article-030724; article-030725; article-030726
journal-issue-010686	2	— 1991. — № 1; № 2; № 3.	article-030636; article-030727
journal-issue-010699	8	— 1991. — № 12.	article-030702; article-030719; article-030760; article-030761; article-030762; article-030763; article-030764; article-030765
journal-issue-010704	3	— 1991. — № 2.	article-030728; article-030729; article-030730
journal-issue-010694	4	— 1991. — № 3.	article-030662; article-030731; article-030732; article-030733
journal-issue-010698	4	— 1991. — № 4.	article-030685; article-030686; article-030734; article-030735
journal-issue-010688	9	— 1991. — № 5.	article-030644; article-030645; article-030656; article-030666; article-030736; article-030737; article-030738; article-030739; article-030740
journal-issue-010689	7	— 1991. — № 6.	article-030646; article-030718; article-030741; article-030742; article-030743; article-030744; article-030745
journal-issue-010690	6	— 1991. — № 7.	article-030647; article-030701; article-030746; article-030747; article-030748; article-030749
journal-issue-010691	8	— 1991. — № 8.	article-030648; article-030661; article-030683; article-030750; article-030751; article-030752; article-030753; article-030754
journal-issue-010684	8	— 1991. — № 9.	article-030629; article-030649; article-030720; article-030755; article-030756; article-030757; article-030758; article-030759
journal-issue-010700	5	— 1994. — № 1; № 2.	article-030710; article-030766; article-030767; article-030768; article-030769
journal-issue-010659	5	— 1994. — № 2.	article-030581; article-030664; article-030770; article-030771; article-030772
journal-issue-010692	6	— 1994. — № 3.	article-030650; article-030654; article-030773; article-030774; article-030775; article-030776
journal-issue-010672	7	— 1994. — № 4.	article-030598; article-030665; article-030700; article-030777; article-030778; article-030779; article-034014
journal-issue-010677	9	— 1994. — № 5.	article-030606; article-030607; article-030608; article-030780; article-030781; article-030782; article-030783; article-030784; article-030785
journal-issue-010660	10	— 1994. — № 6.	article-030582; article-030595; article-030596; article-030634; article-030682; article-030687; article-030786; article-030787; article-030788; article-030789
journal-issue-010661	3	— 1994. — № 7.	article-030583; article-030790; article-030791
journal-issue-010662	8	— 1994. — № 8; 1995. — № 1.	article-030584; article-030626; article-030663; article-030792; article-030793; article-030794; article-030795; article-030796
journal-issue-010673	5	— 1995. — № 1.	article-030599; article-030609; article-030638; article-030684; article-030797
journal-issue-010668	4	— 1995. — № 10; 1996. — № 1.	article-030590; article-030628; article-030677; article-030818
journal-issue-010663	6	— 1995. — № 2.	article-030585; article-030600; article-030610; article-030655; article-030798; article-030799
journal-issue-010664	8	— 1995. — № 3.	article-030586; article-030604; article-030611; article-030612; article-030637; article-030688; article-030800; article-030801
journal-issue-010665	6	— 1995. — № 4; 1995. — № 5.	article-030587; article-030601; article-030632; article-030657; article-030689; article-030802
journal-issue-010678	5	— 1995. — № 5.	article-030613; article-030625; article-030635; article-030640; article-030803
journal-issue-010679	6	— 1995. — № 6.	article-030614; article-030615; article-030667; article-030804; article-030805; article-030806
journal-issue-010701	4	— 1995. — № 7.	article-030711; article-030807; article-030808; article-030809
journal-issue-010666	7	— 1995. — № 8.	article-030588; article-030630; article-030639; article-030810; article-030811; article-030812; article-030813
journal-issue-010667	6	— 1995. — № 9.	article-030589; article-030690; article-030814; article-030815; article-030816; article-030817
journal-issue-010705	3	— 1996. — № 1.	article-030819; article-030820; article-030821
journal-issue-010693	4	— 1996. — № 10.	article-030653; article-030660; article-030835; article-030836
journal-issue-010669	4	— 1996. — № 2; № 3; № 4.	article-030591; article-030616; article-030668; article-030822
journal-issue-010687	4	— 1996. — № 3.	article-030641; article-030642; article-030715; article-030823
journal-issue-010680	6	— 1996. — № 4.	article-030617; article-030659; article-030669; article-030698; article-030703; article-030704
journal-issue-010681	4	— 1996. — № 5.	article-030618; article-030651; article-030652; article-030824
journal-issue-010676	6	— 1996. — № 6.	article-030605; article-030676; article-030691; article-030825; article-030826; article-030827
journal-issue-010674	10	— 1996. — № 7.	article-030602; article-030619; article-030675; article-030693; article-030708; article-030712; article-030828; article-030829; article-030830; article-030831
journal-issue-010695	9	— 1996. — № 8.	article-030670; article-030678; article-030692; article-030705; article-030716; article-030717; article-030832; article-030833; article-034015
journal-issue-010675	6	— 1996. — № 9.	article-030603; article-030620; article-030627; article-030679; article-030707; article-030834
journal-issue-010685	7	— 1997. — № 1.	article-030633; article-030658; article-030671; article-030837; article-030838; article-030839; article-030840
journal-issue-010682	3	— 1997. — № 2.	article-030621; article-030694; article-030709
journal-issue-010683	4	— 1997. — № 3.	article-030622; article-030695; article-030699; article-030714
journal-issue-010670	6	— 1998. — № 1–2.	article-030592; article-030593; article-030643; article-030672; article-030697; article-030841
journal-issue-010696	6	— 1998. — № 3.	article-030673; article-030680; article-030696; article-030706; article-030713; article-030842
journal-issue-010697	4	— 1998. — № 4.	article-030681; article-030843; article-030844; article-030845
journal-issue-010671	10	— 1998. — № 5.	article-030594; article-030597; article-030623; article-030624; article-030631; article-030674; article-030846; article-030847; article-030848; article-030849
journal-issue-010718	3	— 2003. — № 2 (2) — С. 24–28.	article-030944; article-030951; article-030958
journal-issue-010722	2	— 2004. — № 6. — С. 23–30.	article-030949; article-030961
journal-issue-010707	3	— 2005. — № 8. — С. 26–29.	article-030932; article-030955; article-030967
journal-issue-010708	3	— 2005. — № 9. — С. 18–19.	article-030933; article-030963; article-030964
journal-issue-010731	2	— 2006. — № 11. — С. 40.	article-030969; article-030970
journal-issue-010709	2	— 2006. — № 12. — С. 43.	article-030934; article-030945
journal-issue-010720	2	— 2008. — № 19. — С. 45–47.	article-030947; article-030972
journal-issue-010715	2	— 2009. — № 21. — С. 38–41.	article-030941; article-030953
journal-issue-010723	2	— 2010. — № 26. — С. 28–31.	article-030952; article-030960
journal-issue-010706	2	— 2012. — № 2 (32). — С. 220–225.	article-030931; article-030957
journal-issue-010716	2	— 2017. — № 41. — С. 109.	article-030942; article-030950
journal-issue-010729	2	— 2019. — № 46. — С. 181–185.	article-030966; article-030983
journal-issue-010714	2	— 2020. — № 1 (47). — С. 67–72.	article-030939; article-030940
journal-issue-010754	2	— 2009. — № 1. — С. 12.	article-030996; article-031000
journal-issue-010748	2	— 2011. — № 2. — С. 26–30.	article-030989; article-030995
journal-issue-010904	2	— 1999. — № 3. — С. 8. 2 ил.	article-031265; article-031287
journal-issue-010850	2	— 1999. — № 4. — С. 10: 6 ил.	article-031125; article-031520
journal-issue-010909	4	— 1999. — № 5. — С. 8: 2 ил.	article-031288; article-031387; article-031414; article-031527
journal-issue-010851	3	— 1999. — № 6. — С. 6: ил.	article-031126; article-031127; article-031128
journal-issue-010852	3	— 2000. — № 1 (7). — С. 8: ил.	article-031129; article-031130; article-031289
journal-issue-010853	3	— 2000. — № 2 (8). — С. 6–7: ил.	article-031131; article-031132; article-031290
journal-issue-010854	2	— 2000. — № 4 (10). — С. 8.	article-031133; article-031266
journal-issue-010855	3	— 2000. — № 5 (11). — С. 5: ил.	article-031134; article-031215; article-031292
journal-issue-010856	4	— 2000. — № 6 (12). — С. 5.	article-031135; article-031293; article-031528; article-031529
journal-issue-010857	4	— 2000. — № 7 (13). — С. 8	article-031136; article-031294; article-031530; article-031531
journal-issue-010890	7	— 2000. — № 8 (14). — С. 7.	article-031216; article-031295; article-031388; article-031532; article-031533; article-031534; article-031535
journal-issue-010875	6	— 2001. — № 1 (15). — С. 9.	article-031172; article-031536; article-031537; article-031538; article-031539; article-031540
journal-issue-010858	3	— 2001. — № 2 (16). — С. 6.	article-031137; article-031138; article-031139
journal-issue-010859	3	— 2001. — № 3 (17). — С. 8.	article-031140; article-031541; article-031542
journal-issue-010860	5	— 2002. — № 2 (19). — С. 11.	article-031141; article-031142; article-031297; article-031439; article-031543
journal-issue-010912	5	— 2002. — № 3 (20). — С. 13–14.	article-031298; article-031436; article-031544; article-031545; article-031546
journal-issue-010816	8	— 2002. — № 4 (21). — С. 17.	article-031063; article-031143; article-031144; article-031299; article-031547; article-031548; article-031549; article-031550
journal-issue-010877	7	— 2003. — № 1 (22). — С. 10–12.	article-031175; article-031300; article-031551; article-031552; article-031553; article-031554; article-031555
journal-issue-010861	2	— 2003. — № 2 (23). — С. 35.	article-031145; article-031169
journal-issue-010879	5	— 2003. — № 4 (25). — С. 15–18.	article-031177; article-031556; article-031557; article-031558; article-031559
journal-issue-010772	12	— 2003. — № 5 (26). — С. 23.	article-031015; article-031146; article-031147; article-031301; article-031389; article-031560; article-031561; article-031562; article-031563; article-031564; article-031565; article-031566
journal-issue-010862	6	— 2004. — № 1 (27). — С. 4.	article-031148; article-031302; article-031567; article-031568; article-031569; article-031570
journal-issue-010863	4	— 2004. — № 2 (28). — С. 6–7.	article-031149; article-031303; article-031571; article-031572
journal-issue-010864	7	— 2004. — № 3 (29). — С. 5.	article-031150; article-031304; article-031352; article-031573; article-031574; article-031575; article-031576
journal-issue-010880	6	— 2004. — № 4 (30). — С. 5.	article-031178; article-031305; article-031577; article-031578; article-031579; article-031580
journal-issue-010782	7	— 2005. — № 1 (31). — С. 8–10.	article-031025; article-031058; article-031151; article-031152; article-031208; article-031306; article-031581
journal-issue-010783	2	— 2005. — № 2 (32). — С. 5–7.	article-031026; article-031307
journal-issue-010784	4	— 2005. — № 3. — С. 4.	article-031027; article-031028; article-031201; article-031308
journal-issue-010865	4	— 2005. — № 4. — С. 5.	article-031153; article-031154; article-031155; article-031309
journal-issue-010785	4	— 2005. — № 5. — С. 7–9.	article-031029; article-031156; article-031202; article-031522
journal-issue-010767	5	— 2006. — № 1. — С. 10–11.	article-031010; article-031030; article-031310; article-031395; article-031418
journal-issue-010786	4	— 2006. — № 2. — С. 4–5; № 3. — С. 4–7; № 4. — С. 4–7.	article-031031; article-031311; article-031396; article-031415
journal-issue-010873	2	— 2006. — № 3. — С. 10.	article-031170; article-031397
journal-issue-010780	2	— 2006. — № 4. — С. 8.	article-031023; article-031312
journal-issue-010787	4	— 2006. — № 5. — С. 12–13.	article-031032; article-031157; article-031313; article-031583
journal-issue-010788	4	— 2007. — № 1. — С.6–9.	article-031033; article-031158; article-031179; article-031314
journal-issue-010789	6	— 2007. — № 2. — С.6–7.	article-031034; article-031180; article-031315; article-031398; article-031459; article-031465
journal-issue-010790	3	— 2007. — № 3. — С. 6–8.	article-031035; article-031159; article-031316
journal-issue-010844	7	— 2007. — № 4. — С. 2.	article-031113; article-031181; article-031317; article-031399; article-031466; article-031584; article-031585
journal-issue-010866	8	— 2007. — № 5. — С. 12.	article-031160; article-031182; article-031186; article-031318; article-031400; article-031526; article-031586; article-031587
journal-issue-010888	6	— 2008. — № 1. — С. 6–10.	article-031203; article-031321; article-031401; article-031461; article-031588; article-031589
journal-issue-010808	7	— 2008. — № 2. — С. 14–17.	article-031054; article-031270; article-031319; article-031320; article-031393; article-031460; article-031590
journal-issue-010768	7	— 2008. — № 3. — С. 6–7.	article-031011; article-031197; article-031280; article-031322; article-031323; article-031381; article-031591
journal-issue-010812	5	— 2008. — № 4. — С. 9.	article-031059; article-031324; article-031325; article-031326; article-031592
journal-issue-010769	6	— 2008. — № 5. — С. 4–7.	article-031012; article-031037; article-031183; article-031237; article-031327; article-031593
journal-issue-010845	4	— 2009. — № 1. — С. 11.	article-031114; article-031286; article-031470; article-031486
journal-issue-010905	7	— 2009. — № 2. — С. 7.	article-031271; article-031284; article-031328; article-031467; article-031525; article-031594; article-031595
journal-issue-010766	6	— 2009. — № 3. — С. 8.	article-031009; article-031238; article-031329; article-031523; article-031596; article-031597
journal-issue-010897	3	— 2009. — № 4. — С. 4–5.	article-031239; article-031330; article-031353
journal-issue-010794	6	— 2009. — № 5. — С. 13.	article-031040; article-031187; article-031281; article-031331; article-031332; article-031598
journal-issue-010770	6	— 2009. — № 6. — С. 4–5.	article-031013; article-031240; article-031333; article-031471; article-031599; article-031600
journal-issue-010894	5	— 2010. — № 1. — С. 10.	article-031228; article-031241; article-031334; article-031406; article-031601
journal-issue-010898	4	— 2010. — № 2. — С. 4–6.	article-031242; article-031282; article-031335; article-031602
journal-issue-010867	9	— 2010. — № 3. — С. 12.	article-031161; article-031174; article-031218; article-031243; article-031336; article-031351; article-031402; article-031603; article-031604
journal-issue-010892	6	— 2010. — № 4. — С. 8.	article-031219; article-031220; article-031283; article-031337; article-031391; article-031417
journal-issue-010876	10	— 2010. — № 5. — С. 10–11.	article-031173; article-031184; article-031221; article-031244; article-031338; article-031339; article-031403; article-031472; article-031494; article-031605
journal-issue-010881	5	— 2010. — № 6. — С. 9.	article-031185; article-031222; article-031245; article-031340; article-031404
journal-issue-010899	7	— 2011. — № 1. — С. 12–14.	article-031246; article-031341; article-031407; article-031495; article-031606; article-031607; article-031608
journal-issue-010893	8	— 2011. — № 2. — С. 8–9.	article-031223; article-031247; article-031342; article-031354; article-031473; article-031505; article-031609; article-031610
journal-issue-010868	7	— 2011. — № 3. — С. 7.	article-031162; article-031285; article-031343; article-031474; article-031506; article-031611; article-031612
journal-issue-010895	6	— 2011. — № 4. — С. 9.	article-031230; article-031344; article-031419; article-031437; article-031613; article-031614
journal-issue-010908	9	— 2011. — № 5. — С. 8.	article-031278; article-031345; article-031355; article-031394; article-031496; article-031507; article-031524; article-031615; article-031616
journal-issue-010869	8	— 2011. — № 6. — С. 7.	article-031163; article-031231; article-031346; article-031356; article-031364; article-031475; article-031617; article-031618
journal-issue-010913	6	— 2012. — № 1. — С. 8–9.	article-031347; article-031365; article-031476; article-031508; article-031619; article-031620
journal-issue-010900	7	— 2012. — № 2. — С. 10.	article-031248; article-031348; article-031357; article-031477; article-031509; article-031621; article-031622
journal-issue-010872	5	— 2012. — № 3. — С. 13.	article-031166; article-031249; article-031478; article-031497; article-031623
journal-issue-010870	8	— 2012. — № 4. — С. 14–15.	article-031164; article-031250; article-031349; article-031366; article-031510; article-031624; article-031625; article-031626
journal-issue-010813	7	— 2012. — № 5. — С. 11.	article-031060; article-031279; article-031350; article-031367; article-031382; article-031405; article-031627
journal-issue-010901	6	— 2012. — № 6. — С. 8.	article-031251; article-031358; article-031383; article-031479; article-031511; article-031628
journal-issue-010773	12	— 2013. — № 1. — С. 9–13.	article-031016; article-031105; article-031252; article-031368; article-031384; article-031438; article-031462; article-031629; article-031630; article-031631; article-031632; article-031633
journal-issue-010777	8	— 2013. — № 2. — С. 14–16.	article-031020; article-031115; article-031209; article-031253; article-031468; article-031498; article-031512; article-031634
journal-issue-010902	6	— 2013. — № 3. — С. 12.	article-031254; article-031359; article-031369; article-031385; article-031480; article-031513
journal-issue-010778	2	— 2013. — № 4. — С. 8–12.	article-031021; article-031255
journal-issue-010779	7	— 2013. — № 5. — С. 18–21.	article-031022; article-031207; article-031224; article-031256; article-031370; article-031499; article-031635
journal-issue-010817	8	— 2013. — № 6. — С. 7–11.	article-031064; article-031065; article-031112; article-031210; article-031225; article-031226; article-031257; article-031463
journal-issue-010840	9	— 2014. — № 1. — С. 8–9.	article-031106; article-031167; article-031193; article-031232; article-031258; article-031360; article-031361; article-031481; article-031482
journal-issue-010818	5	— 2014. — № 2. — С. 8–11.	article-031066; article-031259; article-031260; article-031372; article-031636
journal-issue-010819	3	— 2014. — № 3. — С. 7–9.	article-031067; article-031194; article-031261
journal-issue-010771	4	— 2014. — № 4. — С. 14–15.	article-031014; article-031120; article-031262; article-031371
journal-issue-010903	2	— 2014. — № 5 — С. 6–7.	article-031263; article-031500
journal-issue-010814	4	— 2015. — № 1. — С. 14–15.	article-031061; article-031362; article-031408; article-031515
journal-issue-010774	3	— 2015. — № 2. — С. 19–24; № 3. — С. 18–19; № 4. — С. 11–13.	article-031017; article-031068; article-031229
journal-issue-010841	5	— 2015. — № 3. — С. 22.	article-031107; article-031168; article-031501; article-031516; article-031637
journal-issue-010820	3	— 2015. — № 4. — С. 6–10.	article-031069; article-031204; article-031420
journal-issue-010775	7	— 2015. — № 5. — С. 12–16; № 6. — С. 20–23.	article-031018; article-031070; article-031264; article-031274; article-031392; article-031638; article-031639
journal-issue-010891	3	— 2015. — № 6. — С. 82–87.	article-031217; article-031517; article-031640
journal-issue-010776	7	— 2016. — № 1. — С. 26–36.	article-031019; article-031071; article-031108; article-031116; article-031121; article-031233; article-031641
journal-issue-010871	5	— 2016. — № 2. — С. 15–17.	article-031165; article-031195; article-031211; article-031373; article-031464
journal-issue-010795	4	— 2016. — № 3. — С. 9–13.	article-031041; article-031227; article-031275; article-031374
journal-issue-010914	2	— 2016. — № 4. — С. 6–7.	article-031375; article-031421
journal-issue-010821	3	— 2016. — № 5. — С. 14–15.	article-031072; article-031236; article-031409
journal-issue-010798	5	— 2016. — № 6. — С. 21.	article-031044; article-031363; article-031416; article-031435; article-031502
journal-issue-010921	2	— 2017. — № 1. — С. 16.	article-031434; article-031469
journal-issue-010823	2	— 2017. — № 3 (101). — С. 7–8.	article-031074; article-031075
journal-issue-010915	2	— 2017. — № 4. — С. 11–14.	article-031376; article-031503
journal-issue-010896	2	— 2017. — № 5. — С. 18–20.	article-031234; article-031410
journal-issue-010916	7	— 2017. — № 6. — С. 21–25.	article-031377; article-031440; article-031518; article-031519; article-031642; article-031643; article-031644
journal-issue-010809	2	— 2018. — № 1 (105). — С. 20–21.	article-031055; article-031080
journal-issue-010917	3	— 2018. — № 1. — С. 14–18.	article-031378; article-031441; article-031645
journal-issue-010919	4	— 2018. — № 2. — С. 19–27.	article-031411; article-031442; article-031483; article-031646
journal-issue-010822	8	— 2018. — № 3. — С. 20–22.	article-031073; article-031198; article-031205; article-031212; article-031379; article-031443; article-031484; article-031647
journal-issue-010886	7	— 2018. — № 4. — С. 22–23.	article-031199; article-031273; article-031380; article-031444; article-031485; article-031648; article-031649
journal-issue-010842	4	— 2018. — № 5. — С. 13.	article-031109; article-031117; article-031445; article-031504
journal-issue-010883	2	— 2019. — № 1. — С. 20–24.	article-031189; article-031446
journal-issue-010843	7	— 2019. — № 2. — С. 10.	article-031110; article-031118; article-031190; article-031267; article-031422; article-031447; article-031650
journal-issue-010834	2	— 2019. — № 3 (112). — С. [2].	article-031087; article-031089
journal-issue-010884	7	— 2019. — № 3. — С. 26–28.	article-031191; article-031213; article-031448; article-031487; article-031651; article-031652; article-031653
journal-issue-010831	2	— 2019. — № 4 (113). — С. [17].	article-031084; article-031088
journal-issue-010887	5	— 2019. — № 4. — С. 18–20.	article-031200; article-031423; article-031449; article-031488; article-031489
journal-issue-010846	6	— 2019. — № 5. — С. 13–19.	article-031119; article-031192; article-031412; article-031424; article-031450; article-031490
journal-issue-010810	3	— 2020. — № 1 (115). — С. 17 — 19.	article-031056; article-031090; article-031096
journal-issue-010907	4	— 2020. — № 1. — С. 20–21.	article-031276; article-031277; article-031451; article-031491
journal-issue-010837	2	— 2020. — № 2 (116). — С. 39.	article-031098; article-031099
journal-issue-010918	8	— 2020. — № 2. — С. 16–26.	article-031386; article-031425; article-031426; article-031430; article-031452; article-031456; article-031492; article-031654
journal-issue-010836	3	— 2020. — № 3 (117). — С. [8–9].	article-031093; article-031094; article-031097
journal-issue-010885	7	— 2020. — № 3. — С. 27.	article-031196; article-031214; article-031268; article-031390; article-031413; article-031427; article-031453
journal-issue-010815	3	— 2020. — № 4. — С. 17.	article-031062; article-031111; article-031454
journal-issue-010835	3	— 2020. — № 4 (118). — С. 18 — [19].	article-031091; article-031092; article-031095
journal-issue-010839	2	— 2021. — № 1 (119). — С. [10 — 13].	article-031102; article-031104
journal-issue-010920	5	— 2021. — № 1. — С. 14–18.	article-031428; article-031429; article-031455; article-031655; article-031656
journal-issue-010811	2	— 2021. — № 2 (120). — С. 110–111.	article-031057; article-031101
journal-issue-010889	6	— 2021. — № 3. — С. 12–16.	article-031206; article-031235; article-031431; article-031457; article-031493; article-031657
journal-issue-010838	2	— 2021. — № 4 (122). — С. 18 — 20.	article-031100; article-031103
journal-issue-010847	6	— 2021. — № 4. — С. 22–24.	article-031122; article-031269; article-031432; article-031433; article-031458; article-031658
journal-issue-010501	2	— Латвия, Рига, 2000. — С. 2–8.	article-030193; article-030194
journal-issue-010229	4	— 1922. — № 1.	article-029670; article-029671; article-029672; article-029673
journal-issue-010926	2	— 2002. — № 3–4 (16). — С. 27–33.	article-031660; article-031661
journal-issue-011298	2	— 2005. — № 5. — С. 92–97.	article-032121; article-032134
journal-issue-010231	2	— 1930. — № 3. — С. 11.	article-029675; article-029676
journal-issue-010241	2	— 1935. — № 22. — С. 205–209.	article-029686; article-029687
journal-issue-010248	2	— 1938. — № 32–33. — С. 169–171.	article-029694; article-029695
journal-issue-010249	3	— 1938. — № 34. — С. 179–183.	article-029696; article-029697; article-029698
journal-issue-010250	2	— 1939. — № 36. — С. 227–228.	article-029699; article-029700
journal-issue-010251	3	— 1939. — № 37. — С. 252–253.	article-029701; article-029702; article-029703
journal-issue-010255	3	— 1955. — № 46–47. — С. 40–41.	article-029707; article-029708; article-029709
journal-issue-010256	2	— 1957. — № 51. — С. 29.	article-029710; article-029711
journal-issue-011708	2	— М., 1999. — С. 43–50.	article-032761; article-032762
journal-issue-010267	3	— Новочеркасск, 1922. — № 2. — С. 30.	article-029722; article-029726; article-029729
journal-issue-010268	2	— Новочеркасск, 1922. — № 3–4. — С. 42–43.	article-029723; article-029730
journal-issue-010270	4	— Новочеркасск, 1922. — № 5–6. — С. 61–62.	article-029725; article-029727; article-029731; article-029732
